"","compound","LSM.ID","LSM.name","cell","Concordance","Tanimoto","autodock","Rank_S2L","Rank_Autodock","Geomean"
"241","ZINC11855322","LSM-43087","ST072947","NPC",0.284,0.86,6.14e-09,1958,452,940.752889976959
"242","ZINC16883315","LSM-43087","ST072947","NPC",0.284,0.931,2.66e-08,344,2590,943.906775057791
"243","ZINC38660828","LSM-2218","MLS-0257792.0001","A375",0.308,0.908,1.59e-08,603,1481,945.009523761533
"244","ZINC01422455","LSM-45818","NMS-1286937","YAPC",0.195,0.761,1.85e-09,11364,79,947.499868073869
"245","ZINC39710888","LSM-3652","MLS002276469","MCF7",0.259,0.693,1.03e-09,22510,40,948.894093142117
"246","ZINC13351494","LSM-45387","","MCF7",0.258,0.882,9.36e-09,1150,787,951.341158575618
"247","ZINC08918030","LSM-2167","Irinotecan","HEPG2",0.293,0.735,1.4e-09,15367,59,952.183280676572
"248","ZINC20885061","LSM-2780","Lintitript","VCAP",0.256,0.785,2.31e-09,8199,111,953.98584895165
"249","ZINC01035662","LSM-2834","MRS 1220","HT29",0.264,0.89,1.11e-08,938,976,956.811371169887
"250","ZINC33399280","LSM-3337","CID-2858522","HCT116",0.313,1,6.68e-06,28,32881,959.514460547625
"251","CHEMBL519757","LSM-5381","Neurodazine","MCF7",0.201,0.926,2.38e-08,403,2299,962.547141702681
"252","ZINC12503317","LSM-3494","Amdinocillin Pivoxil","HEPG2",0.312,1,4.95e-06,29,32042,963.959542719506
"253","CHEMBL176582","LSM-45421","PD153035 (Hydrochloride)","HELA",0.236,0.843,4.83e-09,2894,322,965.333103130728
"254","ZINC16292698","LSM-45864","BMS-794833","YAPC",0.266,0.886,1.08e-08,1030,927,977.143796992029
"255","ZINC58849961","LSM-39940","BRD-K48105325","PC3",0.185,0.805,2.96e-09,5939,161,977.84405709704
"256","ZINC41584667","LSM-1079","TORIN1","HEPG2",0.344,0.832,4.21e-09,3622,264,977.8588855249
"257","ZINC16292698","LSM-45864","BMS-794833","YAPC",0.266,0.886,1.08e-08,1031,928,978.145183497828
"258","ZINC20719627","LSM-2415","MLS000581978","A549",0.393,0.875,8.86e-09,1320,725,978.263768111648
"259","ZINC13272774","LSM-2332","MLS003568132","A549",0.23,0.837,4.49e-09,3279,293,980.177024827658
"260","ZINC40057034","LSM-2287","Midostaurin","VCAP",0.345,0.831,4.22e-09,3633,266,983.045268540569
"261","ZINC52566219","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.885,1.06e-08,1074,909,988.061738961691
"262","ZINC38651161","LSM-1099","Nilotinib","A549",0.297,0.923,2.39e-08,428,2316,995.614383182565
"263","ZINC13333976","LSM-44563","MLS000863584","HEPG2",0.219,1,1.19e-07,107,9300,997.546991374341
"264","ZINC21163011","LSM-10418","BRD-K32799329","VCAP",0.245,0.719,1.27e-09,18141,55,998.876869288703
"265","CHEMBL186580","LSM-45952","Dihydroorotate Dehydrogenase Inhibitor, Brequinar","MCF7",0.168,0.86,6.51e-09,2008,500,1001.99800399003
"266","ZINC00333975","LSM-1873","MLS002264411","HCC515",0.257,0.966,5.83e-08,186,5464,1008.11904058995
"267","ZINC39227685","LSM-1069","Enzastaurin","PC3",0.28,0.775,2.28e-09,9374,109,1010.82441600903
"268","ZINC08856198","LSM-6259","(S)-Tipifarnib","T3M10",0.193,0.886,1.11e-08,1051,977,1013.32472584064
"269","ZINC18249795","LSM-43087","ST072947","NPC",0.284,0.864,7.37e-09,1772,581,1014.65856326155
"270","ZINC18249795","LSM-43087","ST072947","NPC",0.284,0.864,7.37e-09,1773,582,1015.8178970662
"271","ZINC41330983","LSM-3826","TCS-359","A549",0.171,0.724,1.41e-09,17296,60,1018.70506035849
"272","ZINC16952033","LSM-45957","","HELA",0.308,1,1.83e-05,30,34787,1021.5723175576
"273","ZINC08443841","LSM-5381","Neurodazine","MCF7",0.201,0.947,4.34e-08,247,4226,1021.67607390993
"274","CHEMBL67535","LSM-42937","Bis-Tyrphostin","MCF7",0.251,1,2.31e-07,75,13924,1021.90997646564
"275","ZINC39449000","LSM-43087","ST072947","NPC",0.284,0.886,1.16e-08,1020,1031,1025.48525099096
"276","ZINC02224515","LSM-2167","Irinotecan","HEPG2",0.293,0.815,3.66e-09,4973,212,1026.77943103668
"277","ZINC21253299","LSM-4706","F1566-0341","NEU",0.257,0.859,6.63e-09,2035,519,1027.69888586103
"278","ZINC17343842","LSM-43131","ST50973695","HCC515",0.23,0.851,5.96e-09,2418,437,1027.94260540168
"279","ZINC59170463","LSM-45674","XL-147","A375",0.173,0.881,1.04e-08,1192,892,1031.14693424361
"280","ZINC39514476","LSM-2795","WAY-170523","PC3",0.247,0.872,8.87e-09,1469,727,1033.42295310294
"281","ZINC15449302","LSM-5384","Norgestimate","PC3",0.27,1,5.07e-07,54,19991,1038.99663137086
"282","ZINC59210813","LSM-4490","STK224476","PHH",0.22,0.909,1.92e-08,595,1837,1045.47357690187
"283","ZINC64649880","LSM-45915","LY2090314","YAPC",0.194,0.689,1.13e-09,23318,47,1046.87439552221
"284","CHEMBL194349","LSM-3112","SRC Kinase Inhibitor I","VCAP",0.266,0.932,3.33e-08,339,3234,1047.0558724347
"285","CHEMBL372523","LSM-1884","MLS002576689","MCF7",0.206,0.901,1.65e-08,717,1538,1050.11713632337
"286","ZINC00622887","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.925,2.77e-08,412,2692,1053.1400666578
"287","ZINC03977910","LSM-3736","Triamcinolone","A375",0.241,1,1.85e-07,90,12324,1053.16665347893
"288","ZINC09383545","LSM-2446","CHEMBL1716096","MCF7",0.227,0.673,1.11e-09,25874,43,1054.79002649817
"289","ZINC20356740","LSM-36629","AK-968/11781209","PHH",0.165,0.8,3.07e-09,6596,169,1055.80490622084
"290","ZINC15449305","LSM-5384","Norgestimate","PC3",0.27,1,5.04e-07,56,19951,1057.00331125309
"291","ZINC39226321","LSM-6296","CHEMBL3188944","HS578T",0.291,0.662,1.06e-09,27427,41,1060.42774388451
"292","ZINC43721964","LSM-4209","Beclomethasone Dipropionate","VCAP",0.281,1,9.75e-07,46,24471,1060.97408073902
"293","ZINC09237124","LSM-1149","SCHEMBL570779","HEPG2",0.25,0.816,3.85e-09,4887,231,1062.49564704991
"294","ZINC13450202","LSM-43191","Axitinib","HA1E",0.3,0.882,1.12e-08,1145,988,1063.60707030369
"295","ZINC43772526","LSM-43088","Calcitriol","PC3",0.246,1,2.38e-07,80,14147,1063.84209354584
"296","ZINC36052093","LSM-5381","Neurodazine","MCF7",0.201,0.882,1.11e-08,1166,978,1067.87077869937
"297","ZINC11855262","LSM-43087","ST072947","NPC",0.284,0.897,1.55e-08,797,1438,1070.5540621566
"298","ZINC18230170","LSM-5381","Neurodazine","MCF7",0.201,0.904,1.8e-08,671,1709,1070.85900098939
"299","ZINC18230170","LSM-5381","Neurodazine","MCF7",0.201,0.904,1.8e-08,672,1710,1071.97014883811
"300","ZINC03764220","LSM-45280","Hoechst 33258","HA1E",0.282,0.765,2.24e-09,10754,107,1072.69660202687
"301","CHEMBL215152","LSM-1067","AZD-1152-HQPA","HS578T",0.288,1,2.56e-06,39,29625,1074.8837146408
"302","ZINC14544977","LSM-42884","CHEMBL1456638","PC3",0.251,0.788,2.79e-09,7790,152,1088.154400809
"303","CHEMBL215152","LSM-1067","AZD-1152-HQPA","HS578T",0.288,1,2.56e-06,40,29626,1088.59542530731
"304","ZINC14018975","LSM-4706","F1566-0341","NEU",0.257,0.883,1.19e-08,1126,1056,1090.43844392978
"305","ZINC63411310","LSM-3422","ASN 04454474","VCAP",0.324,0.8,3.42e-09,6261,192,1096.40868292804
"306","ZINC01784772","LSM-4605","AC1NSM0X","HCC15",0.24,0.854,6.77e-09,2285,531,1101.51486599138
"307","ZINC05651353","LSM-5384","Norgestimate","PC3",0.27,1,5.79e-07,58,20956,1102.47358244994
"308","ZINC08595169","LSM-2051","Catechin Pentabenzoate","A549",0.279,0.876,1.08e-08,1311,929,1103.59367522653
"309","ZINC04177826","LSM-3826","TCS-359","A549",0.171,0.712,1.46e-09,19431,63,1106.41447929788
"310","ZINC39597637","LSM-41278","BRD-K73722380","PC3",0.215,0.766,2.33e-09,10670,115,1107.7228895351
"311","ZINC29051126","LSM-45949","Retapamulin","HA1E",0.2,1,1.29e-07,125,9822,1108.03880798463
"312","ZINC22011945","LSM-2929","Triclosan","A375",0.29,1,7.51e-06,37,33191,1108.18184428369
"313","ZINC39676521","LSM-39753","CHEMBL3184905","HT29",0.249,0.75,2.07e-09,12981,95,1110.49313370232
"314","CHEMBL246072","LSM-1096","331771-20-1","MDAMB231",0.333,0.755,2.19e-09,12097,102,1110.80781416049
"315","ZINC11855639","LSM-4255","Dactolisib","MCF7",0.347,0.894,1.56e-08,856,1448,1113.32295404343
"316","ZINC62038663","LSM-1137","BMS-509744","SKL",0.276,0.808,3.72e-09,5629,221,1115.35151409769
"317","ZINC03329217","LSM-45980","TG 100801","MCF7",0.231,0.864,8.59e-09,1796,694,1116.43360751995
"318","ZINC39916353","LSM-2332","MLS003568132","A549",0.23,0.885,1.28e-08,1082,1152,1116.45152156285
"319","ZINC39635768","LSM-40468","BRD-K58490891","A375",0.172,0.734,1.87e-09,15585,80,1116.60198817663
"320","ZINC39796063","LSM-45600","Vidofludimus","PC3",0.183,0.812,3.91e-09,5287,236,1117.01924781984
"321","ZINC20860276","LSM-2332","MLS003568132","A549",0.23,0.861,8.07e-09,1936,649,1120.92104985142
"322","CHEMBL180227","LSM-4255","Dactolisib","MCF7",0.347,0.947,5.57e-08,239,5262,1121.4356869656
"323","ZINC32974129","LSM-4858","SMR000115252","HT29",0.302,0.885,1.31e-08,1062,1185,1121.81549285076
"324","ZINC12053110","LSM-2183","Fananserin","A549",0.303,0.743,2.01e-09,14028,90,1123.61915256015
"325","CHEMBL180227","LSM-4255","Dactolisib","MCF7",0.347,0.947,5.57e-08,240,5263,1123.88611522698
"326","ZINC12009443","LSM-43087","ST072947","NPC",0.284,0.895,1.62e-08,839,1508,1124.81642946749
"327","CHEMBL56393","LSM-42862","Tyrphostin AG 538","NPC",0.25,1,3.4e-07,76,16827,1130.86338697475
"328","ZINC20940729","LSM-4923","BIX-01338","MCF7",0.169,0.901,1.86e-08,721,1775,1131.2714086372
"329","ZINC06885291","LSM-4317","CHEMBL599255","ASC",0.205,0.949,5.96e-08,231,5563,1133.60178193226
"330","ZINC40043541","LSM-4777","F3284-4453","VCAP",0.269,0.824,4.67e-09,4212,306,1135.28498624795
"331","CHEMBL56393","LSM-42862","Tyrphostin AG 538","NPC",0.25,1,3.4e-07,77,16828,1138.3127865398
"332","ZINC63245197","LSM-1081","PDK1 Inhibitor","PC3",0.313,0.888,1.44e-08,990,1319,1142.72043825251
"333","ZINC59816752","LSM-45258","IOWH032","HELA",0.293,0.821,4.59e-09,4402,297,1143.41331109971
"334","ZINC03404539","LSM-2332","MLS003568132","A549",0.23,0.912,2.44e-08,554,2363,1144.15995385261
"335","ZINC39940797","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.924,3.21e-08,421,3115,1145.17029301323
"336","ZINC00784471","LSM-4563","172985-18-1","A549",0.267,1,6.26e-07,61,21518,1145.68669364709
"337","ZINC01894479","LSM-3112","SRC Kinase Inhibitor I","VCAP",0.266,0.825,4.79e-09,4125,319,1147.11594880378
"338","ZINC09423405","LSM-43087","ST072947","NPC",0.284,0.875,1.12e-08,1332,989,1147.7578141751
"339","ZINC59506255","LSM-2987","MLS002454457","MCF7",0.277,0.907,2.24e-08,609,2171,1149.84303276578
"340","ZINC04426856","LSM-3736","Triamcinolone","A375",0.241,1,2.77e-07,87,15240,1151.46862744931
"341","ZINC15931451","LSM-43087","ST072947","NPC",0.284,0.865,9.21e-09,1737,766,1153.49122233331
"342","CHEMBL179274","LSM-42778","Neratinib","YAPC",0.323,0.989,1.35e-07,132,10125,1156.07093207986
"343","ZINC27515740","LSM-3435","CHEMBL3188521","A549",0.352,0.872,1.08e-08,1445,930,1159.2454442438
"344","ZINC58915031","LSM-1081","PDK1 Inhibitor","PC3",0.313,0.859,8.31e-09,2014,668,1159.89309852245
"345","ZINC05865498","LSM-4052","Benzonatate","A375",0.287,0.782,2.85e-09,8518,158,1160.10516764645
"346","CHEMBL179274","LSM-42778","Neratinib","YAPC",0.323,0.989,1.35e-07,133,10126,1160.49903058986
"347","ZINC39689208","LSM-6211","CHEMBL416418","HT29",0.276,0.907,2.3e-08,612,2229,1167.9674653003
"348","ZINC21706931","LSM-39501","BRD-K40461288","VCAP",0.331,0.725,1.89e-09,16945,81,1171.55665676057
"349","ZINC04201114","LSM-3657","Telmisartan","MCF7",0.277,0.771,2.68e-09,9869,141,1179.63087446879
"350","ZINC03782486","LSM-5062","AC1NQXBX","MCF7",0.282,1,3.82e-06,45,31196,1184.82910160073
"351","ZINC13515952","LSM-1278","BIO2_000330","A375",0.264,1,7.53e-07,63,22800,1198.49906132629
"352","ZINC65356191","LSM-45803","Taranabant","HA1E",0.217,0.803,3.88e-09,6135,235,1200.71853487818
"353","ZINC08740085","LSM-45723","","HELA",0.229,0.847,6.99e-09,2629,550,1202.47661099915
"354","ZINC08881728","LSM-3520","CGS 20625","A549",0.309,0.688,1.44e-09,23371,62,1203.74498960536
"355","ZINC13141653","LSM-3382","T 98475","HCC515",0.274,0.857,8.55e-09,2115,687,1205.40657041514
"356","ZINC12551854","LSM-45476","","PC3",0.236,0.862,9.23e-09,1899,769,1208.44155837177
"357","ZINC13077983","LSM-37130","CHEMBL569102","NEU",0.258,0.846,6.94e-09,2680,548,1211.8745809695
"358","ZINC41313882","LSM-3826","TCS-359","A549",0.171,0.724,1.93e-09,17293,85,1212.39638732553
"359","ZINC03535667","LSM-3826","TCS-359","A549",0.171,0.808,4.13e-09,5682,259,1213.11087704298
"360","ZINC08767561","LSM-6516","AC1N39OF","VCAP",0.174,0.802,3.92e-09,6217,237,1213.84883737638
"361","ZINC39988952","LSM-5381","Neurodazine","MCF7",0.201,0.903,2.24e-08,683,2172,1217.98029540711
"362","ZINC15685830","LSM-1936","Indapamide","PC3",0.242,1,3.79e-07,84,17710,1219.68848481897
"363","CHEMBL180018","LSM-1062","GSK-1070916","MCF7",0.304,0.915,3.01e-08,510,2921,1220.53676716435
"364","CHEMBL337026","LSM-1103","Staurosporine","A549",0.377,0.965,9.4e-08,189,7884,1220.68669198939
"365","ZINC26255038","LSM-4209","Beclomethasone Dipropionate","VCAP",0.281,1,4.47e-06,47,31730,1221.19204058985
"366","CHEMBL180018","LSM-1062","GSK-1070916","MCF7",0.304,0.915,3.01e-08,511,2922,1221.94189714569
"367","ZINC33085505","LSM-4909","MAYBRIDGE4_001867","HEPG2",0.213,0.88,1.35e-08,1223,1221,1221.99959083463
"368","CHEMBL337026","LSM-1103","Staurosporine","A549",0.377,0.965,9.4e-08,190,7885,1223.98937903889
"369","ZINC39672811","LSM-45755","Docosanoic acid","HELA",0.263,0.927,4.07e-08,380,3961,1226.85777496823
"370","ZINC05276009","LSM-5760","Glycodeoxycholate","FIBRNPC",0.345,0.961,8.99e-08,199,7618,1231.25220811985
"371","ZINC33051502","LSM-5381","Neurodazine","MCF7",0.201,0.935,4.83e-08,326,4655,1231.88067603969
"372","ZINC22567253","LSM-2139","MLS002276485","HT29",0.267,0.83,5.72e-09,3763,405,1234.51002426064
"373","ZINC23352590","LSM-45854","GSK962040","PC3",0.302,0.697,1.67e-09,21828,70,1236.10679150306
"374","ZINC27520861","LSM-5381","Neurodazine","MCF7",0.201,0.923,3.55e-08,442,3457,1236.12054428361
"375","ZINC38595287","LSM-45443","Forskolin, NKH477","HELA",0.263,1,8.47e-07,65,23556,1237.39241956624
"376","ZINC13551191","LSM-45289","Mirodenafil (dihydrochloride)","HELA",0.198,0.704,1.73e-09,20753,74,1239.24251056845
"377","ZINC17028927","LSM-2401","Digitoxigenin","MCF7",0.209,0.975,1.31e-07,155,9912,1239.49989915288
"378","ZINC03416087","LSM-4862","MLS-0315871.0001","VCAP",0.259,1,7.83e-07,67,23042,1242.50311870836
"379","ZINC06239429","LSM-4899","ST014147","VCAP",0.285,0.932,4.76e-08,338,4603,1247.32273289634
"380","ZINC17148927","LSM-15379","SR-2640","MCF7",0.238,0.887,1.66e-08,1006,1550,1248.71934396805
"381","ZINC39024417","LSM-1855","MLS002222336","HA1E",0.283,0.543,1.11e-09,35465,44,1249.18373348359
"382","ZINC01769558","LSM-43131","ST50973695","HCC515",0.23,0.897,2.01e-08,810,1927,1249.34782986965
"383","ZINC14472560","LSM-1338","IN1304","HCC515",0.314,0.835,6.25e-09,3371,465,1252.00439296354
"384","ZINC08797486","LSM-45888","SB271046","HA1E",0.274,0.759,2.63e-09,11559,136,1253.80381240448
"385","ZINC51347654","LSM-1280","SPECTRUM_001095","MCF7",0.231,0.963,9.63e-08,196,8033,1254.77806802637
"386","ZINC02154963","LSM-2218","MLS-0257792.0001","A375",0.308,0.906,2.58e-08,629,2504,1254.99641433751
"387","ZINC16755321","LSM-2218","MLS-0257792.0001","A375",0.308,0.888,1.7e-08,991,1594,1256.84287005178
"388","ZINC13368714","LSM-15085","BRD-K78639526","MCF7",0.224,0.633,1.21e-09,30985,51,1257.07398350296
"389","ZINC40796966","LSM-3826","TCS-359","A549",0.171,0.878,1.37e-08,1286,1238,1261.77177017082
"390","ZINC11855949","LSM-2344","KUC104493","HCC515",0.248,0.832,5.98e-09,3626,441,1264.54181425527
"391","ZINC08791831","LSM-1280","SPECTRUM_001095","MCF7",0.231,0.981,1.68e-07,138,11602,1265.33631892869
"392","ZINC39946689","LSM-4706","F1566-0341","NEU",0.257,0.925,4.02e-08,410,3918,1267.43047146579
"393","ZINC11855297","LSM-43268","BAS 02859604","HA1E",0.242,0.843,7.08e-09,2888,558,1269.45027472524
"394","CHEMBL168915","LSM-2415","MLS000581978","A549",0.393,0.936,5.48e-08,311,5199,1271.56950262264
"395","ZINC22751914","LSM-41900","BRD-K84797952","A375",0.177,0.753,2.51e-09,12580,129,1273.89952508037
"396","ZINC44963247","LSM-43229","Epothilone A","NPC",0.241,1,4.41e-07,86,18909,1275.21527594363
"397","ZINC41309788","LSM-43098","SU-11652","HA1E",0.347,0.694,1.7e-09,22289,73,1275.57712428532
"398","ZINC14961604","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.892,1.88e-08,910,1790,1276.2836675285
"399","ZINC11855776","LSM-2299","Fast Scarlet","A549",0.314,0.853,8.71e-09,2304,708,1277.19693078241
"400","ZINC39637489","LSM-9066","BRD-K10600561","VCAP",0.217,0.77,2.99e-09,10020,163,1277.99061029414
"401","ZINC39689138","LSM-6211","CHEMBL416418","HT29",0.276,0.907,2.75e-08,610,2682,1279.06997463
"402","ZINC20863777","LSM-3058","4-(4-Octadecylphenyl)-4-oxobut-2-enoic acid","PC3",0.285,0.786,3.58e-09,8044,204,1281.00585478756
"403","ZINC18321202","LSM-1190","Bosutinib","HA1E",0.36,0.655,1.39e-09,28390,58,1283.20692018084
"404","ZINC03938744","LSM-4209","Beclomethasone Dipropionate","VCAP",0.281,1,1.62e-05,48,34618,1289.05546816264
"405","ZINC63503297","LSM-4923","BIX-01338","MCF7",0.169,0.9,2.25e-08,765,2188,1293.76195646649
"406","ZINC10325887","LSM-4378","AG-205/37023070","VCAP",0.275,0.909,2.94e-08,588,2847,1293.84543126295
"407","ZINC20461275","LSM-2382","UNII-BXU45ZH6LI","PC3",0.308,0.922,3.9e-08,445,3785,1297.81547224557
"408","ZINC13559454","LSM-42780","GSK-3 Inhibitor IX","MCF10A",0.258,1,1.03e-06,68,24795,1298.48373112642
"409","ZINC32964288","LSM-43131","ST50973695","HCC515",0.23,0.897,2.17e-08,809,2095,1301.86596852364
"410","ZINC08791762","LSM-4900","Hydroxyprogesterone Caproate","HA1E",0.29,0.836,6.6e-09,3318,512,1303.38635868264
"411","ZINC20059381","LSM-36861","Sirtinol","NPC",0.22,0.869,1.2e-08,1595,1067,1304.55547984745
"412","ZINC20558818","LSM-4923","BIX-01338","MCF7",0.169,0.872,1.27e-08,1496,1142,1307.07000577628
"413","ZINC43191454","LSM-1904","Betamethasone Acetate","NPC",0.212,1,2.74e-07,113,15148,1308.32870487504
"414","ZINC40038429","LSM-45667","GSK2636771","HA1E",0.163,0.708,1.93e-09,20058,86,1313.3879853265
"415","ZINC24494836","LSM-45888","SB271046","HA1E",0.274,0.923,4.14e-08,429,4027,1314.3755171183
"416","ZINC08043624","LSM-45387","","MCF7",0.258,0.938,6.35e-08,296,5854,1316.35253636706
"417","ZINC35089826","LSM-4255","Dactolisib","MCF7",0.347,0.866,1.15e-08,1703,1019,1317.32949560844
"418","ZINC14333193","LSM-2544","MLS002473642","HA1E",0.285,0.673,1.62e-09,25765,68,1323.63892357395
"419","ZINC31544793","LSM-1642","AC1MR9ZN","HT29",0.202,1,2.61e-07,119,14809,1327.50555554393
"420","ZINC15546783","LSM-4864","MLS-0435557.0001","ASC",0.252,0.765,2.99e-09,10790,164,1330.24809716083
"421","ZINC40813662","LSM-4726","3-Chloro-n-{3-[(furan-2-ylmethyl)carbamoyl]-5,6-dihydro-4H-cyclopenta[b]thiophen-2-yl}-1-benzothiophene-2-carboxamide","A549",0.266,0.781,3.61e-09,8633,205,1330.32514822505
"422","ZINC02139532","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.937,6.2e-08,309,5728,1330.39542993803
"423","ZINC14273278","LSM-36629","AK-968/11781209","PHH",0.165,0.8,4.23e-09,6595,269,1331.93656005082
"424","ZINC05947821","LSM-2415","MLS000581978","A549",0.393,0.916,3.65e-08,503,3540,1334.3987410066
"425","ZINC09744515","LSM-3201","MLS-0315803.0001","PC3",0.209,0.855,9.42e-09,2256,793,1337.53803684232
"426","ZINC01838639","LSM-1113","N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide","HA1E",0.309,0.898,2.36e-08,785,2284,1339.0070948281
"427","ZINC36637831","LSM-6453","CHEMDIV1_016684","PC3",0.198,0.848,8.58e-09,2592,692,1339.27741711716
"428","ZINC32809133","LSM-1576","MLS000572607","HEPG2",0.319,0.902,2.67e-08,690,2600,1339.40285202026
"429","ZINC39069977","LSM-4547","MLS000037800","HEPG2",0.279,1,8.95e-05,50,35937,1340.46633676493
"430","ZINC05338606","LSM-5381","Neurodazine","MCF7",0.201,0.913,3.44e-08,538,3340,1340.49244682691
"431","ZINC13741543","LSM-45705","Siramesine (hydrochloride)","PC3",0.223,0.965,1.2e-07,193,9358,1343.90996722251
"432","ZINC12819801","LSM-3112","SRC Kinase Inhibitor I","VCAP",0.266,0.812,5.11e-09,5216,347,1345.34456552959
"433","ZINC43464515","LSM-3476","Zoxazolamine","VCAP",0.276,1,3.81e-05,51,35510,1345.73771590158
"434","ZINC39669144","LSM-41232","SA-1460136","MCF7",0.261,0.783,3.68e-09,8430,215,1346.27263212174
"435","ZINC27564096","LSM-1873","MLS002264411","HCC515",0.257,0.956,1.11e-07,207,8849,1353.41900385653
"436","ZINC39197371","LSM-2620","AC1MXYGS","MCF7",0.224,0.816,5.34e-09,4900,374,1353.73557240696
"437","ZINC15275315","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.879,1.59e-08,1237,1482,1353.96971901147
"438","ZINC08870853","LSM-43196","AGK 2","SW948",0.331,0.912,3.48e-08,543,3390,1356.74979270313
"439","ZINC09196967","LSM-39501","BRD-K40461288","VCAP",0.331,0.681,1.78e-09,24550,75,1356.92667451119
"440","ZINC64648568","LSM-45582","Flumatinib (mesylate)","YAPC",0.273,0.77,3.33e-09,9989,185,1359.3987641601
"441","ZINC64202853","LSM-2369","KUC104254","VCAP",0.312,0.778,3.62e-09,8937,207,1360.13197889028
"442","ZINC02085596","LSM-2127","LE-135","HCC15",0.292,0.829,6.42e-09,3808,488,1363.19624412628
"443","ZINC01822324","LSM-2415","MLS000581978","A549",0.393,0.935,6.47e-08,314,5924,1363.86802880631
"444","ZINC08872076","LSM-4923","BIX-01338","MCF7",0.169,0.89,2.07e-08,943,1983,1367.46809834818
"445","ZINC08872076","LSM-4923","BIX-01338","MCF7",0.169,0.89,2.07e-08,944,1984,1368.53790594196
"446","CHEMBL307209","LSM-1675","MLS002264406","HA1E",0.2,0.919,4.01e-08,484,3899,1373.72340738593
"447","ZINC08820983","LSM-3244","SMR000047763","VCAP",0.282,0.875,1.53e-08,1334,1424,1378.26557673041
